0.0196088 + 1
0.0305525 - 0
0.0395764 + 1
0.0660363 + 2
0.072144 + 3
0.0722229 - 2
0.109534 + 3
0.134304 - 2
0.172518 - 1
0.213932 + 2
0.264096 - 1
0.306024 - 0
0.324907 + 1
0.382483 - 0
0.412271 + 1
0.417851 - 0
0.519429 + 1
0.52855 - 0
0.632386 + 1
0.696386 + 2
0.723066 - 1
0.725708 + 2
0.734627 + 3
0.742253 - 2
0.75197 - 1
0.75618 - 0
0.817222 + 1
0.895508 - 0
0.924862 + 1
0.925339 - 0
0.990222 + 1
1.06277 - 0
1.13935 + 1
1.16735 - 0
1.19494 + 1
1.19844 - 0
1.20219 + 1
1.20919 + 2
1.23544 - 1
1.26829 + 2
1.30042 - 1
1.34034 - 0
1.4158 + 1
1.41791 + 2
1.42427 - 1
1.43375 + 2
1.44298 - 1
1.47921 + 2
1.50108 - 1
1.50672 - 0
1.53976 + 1
1.5495 + 2
1.5762 - 1
1.58059 - 0
1.62193 + 1
1.63082 - 0
1.6984 + 1
1.70716 + 2
1.72509 + 3
1.77469 - 2
1.79358 - 1
1.83584 - 0
1.90063 + 1
1.91173 - 0
2.00708 + 1
2.04154 + 2
2.10775 + 3
2.16062 + 4
2.17027 - 3
2.18939 + 4
2.24374 - 3
2.24616 + 4
2.30186 - 3
2.30546 - 2
2.30666 - 1
2.31092 - 0
2.34834 + 1
2.49406 - 0
2.62109 + 1
2.65337 + 2
2.65841 - 1
2.67233 - 0
2.83522 + 1
2.88799 - 0
2.92695 + 1
2.98734 - 0
2.9954 + 1
3.01865 + 2
3.0287 - 1
3.03582 - 0
3.0828 + 1
3.12631 + 2
3.13911 + 3
3.17816 - 2
3.27176 - 1
3.29696 + 2
3.33479 + 3
3.37305 - 2
3.39518 - 1
3.39782 - 0
3.42715 + 1
3.45948 + 2
3.47143 + 3
3.48877 - 2
3.58054 + 3
3.58375 + 4
3.58472 - 3
3.60391 + 4
3.61793 + 5
3.6199 - 4
3.65741 + 5
3.67086 + 6
3.79098 - 5
3.80519 + 6
3.82433 - 5
3.8394 - 4
3.84266 - 3
3.91677 - 2
3.91719 + 3
3.94663 - 2
3.96117 - 1
4.00513 - 0
4.00571 + 1
4.02985 + 2
4.03327 - 1
4.09462 - 0
4.13721 + 1
4.2227 + 2
4.24028 + 3
4.29456 + 4
4.29511 - 3
4.34478 - 2
4.36212 + 3
4.3666 + 4
4.37523 - 3
4.39883 + 4
4.40918 - 3
4.41431 + 4
4.43374 - 3
4.43764 - 2
4.44406 + 3
4.45016 + 4
4.51612 - 3
4.51781 - 2
4.5204 + 3
4.56899 - 2
4.57649 - 1
4.63914 + 2
4.65052 + 3
4.66585 + 4
4.67151 - 3
4.71657 + 4
4.74025 - 3
4.75174 + 4
4.78293 + 5
4.8012 - 4
4.81839 - 3
4.82395 + 4
4.86442 - 3
4.86574 - 2
4.89777 - 1
4.91228 + 2
4.9751 - 1
5.03026 + 2
5.03516 - 1
5.12599 - 0
5.34696 + 1
5.35433 - 0
5.42672 + 1
5.44009 - 0
5.49456 + 1
5.51127 + 2
5.5344 - 1
5.54386 - 0
5.57221 + 1
5.61921 + 2
5.62439 - 1
5.64053 - 0
5.78821 + 1
5.81184 - 0
5.89586 + 1
5.90068 - 0
6.05267 + 1
6.0991 - 0
6.16856 + 1
6.20339 + 2
6.21062 - 1
6.21289 + 2
6.22654 - 1
6.23459 - 0
6.54812 + 1
6.55759 - 0
6.56208 + 1
6.56987 - 0
6.65663 + 1
6.6643 + 2
6.70521 + 3
6.71415 + 4
6.7446 - 3
6.74876 - 2
6.77958 - 1
6.82444 - 0
6.8444 + 1
6.84737 + 2
6.85721 + 3
6.89122 + 4
6.90004 - 3
6.90904 + 4
7.04026 + 5
7.05843 + 6
7.08115 - 5
7.08905 - 4
7.16413 - 3
7.16898 - 2
7.17014 - 1
7.18913 - 0
7.19571 + 1
7.24839 + 2
7.27568 + 3
7.29336 - 2
7.33136 - 1
7.33203 - 0
7.55358 + 1
7.5845 - 0
7.72779 + 1
7.76938 - 0
7.80788 + 1
7.81258 + 2
7.81261 - 1
7.82416 - 0
8.00788 + 1
8.01233 + 2
8.01929 - 1
8.0487 + 2
8.05061 + 3
8.06016 - 2
8.10992 + 3
8.13442 + 4
8.16222 - 3
8.16397 + 4
8.17508 + 5
8.18246 + 6
8.19978 - 5
8.20955 + 6
8.21412 - 5
8.2453 + 6
8.24766 + 7
8.2853 + 8
8.30398 + 9
8.30707 - 8
8.32096 + 9
8.34275 - 8
8.38945 - 7
8.40316 - 6
8.43743 + 7
8.43993 - 6
8.46359 - 5
8.48849 + 6
8.49103 + 7
8.52901 + 8
8.56365 + 9
8.56447 + 10
8.60031 - 9
8.66247 + 10
8.67695 + 11
8.67919 + 12
8.70598 - 11
8.72337 + 12
8.72886 - 11
8.7693 + 12
8.784 + 13
8.7986 - 12
8.80798 + 13
8.82309 - 12
8.85774 + 13
8.87937 + 14
8.88748 + 15
8.91402 + 16
8.93083 + 17
8.93656 - 16
8.96857 - 15
9.03524 - 14
9.04801 - 13
9.06566 - 12
9.08602 - 11
9.17875 + 12
9.26544 + 13
9.28682 + 14
9.29342 + 15
9.2957 - 14
9.32423 - 13
9.3299 - 12
9.35645 + 13
9.37204 - 12
9.37511 + 13
9.3987 - 12
9.39923 - 11
9.4322 - 10
9.46056 - 9
9.47045 + 10
9.51617 - 9
9.54437 - 8
9.55347 + 9
9.57551 - 8
9.65076 + 9
9.65338 - 8
9.68447 - 7
9.68783 + 8
9.6986 - 7
9.71802 - 6
9.73024 + 7
