0.0207622 + 1
0.0305525 - 0
0.0419044 + 1
0.0699208 + 2
0.0722229 - 1
0.0763877 + 2
0.115977 + 3
0.134304 - 2
0.172518 - 1
0.226516 + 2
0.264096 - 1
0.306024 - 0
0.34402 + 1
0.382483 - 0
0.436522 + 1
0.441672 - 0
0.549984 + 1
0.568171 - 0
0.669585 + 1
0.723066 - 0
0.73735 + 1
0.742253 - 0
0.768397 + 1
0.777841 + 2
0.815611 - 1
0.865293 + 2
0.895508 - 1
0.925339 - 0
0.979266 + 1
0.988761 - 0
1.04847 + 1
1.06277 - 0
1.20638 + 1
1.23544 - 0
1.26523 + 1
1.27291 + 2
1.28032 + 3
1.30042 - 2
1.34034 - 1
1.34289 + 2
1.34944 - 1
1.42427 - 0
1.49908 + 1
1.50108 - 0
1.50132 + 1
1.50672 - 0
1.51808 + 1
1.56622 + 2
1.5762 - 1
1.58059 - 0
1.63033 + 1
1.63082 - 0
1.64064 + 1
1.65005 - 0
1.71733 + 1
1.77469 - 0
1.7983 + 1
1.80758 + 2
1.82657 + 3
1.83584 - 2
1.87249 - 1
1.91173 - 0
2.01244 + 1
2.12514 + 2
2.16163 + 3
2.17027 - 2
2.23174 + 3
2.24374 - 2
2.28772 + 3
2.30186 - 2
2.30546 - 1
2.30666 - 0
2.31818 + 1
2.34241 - 0
2.37829 + 1
2.48648 + 2
2.49406 - 1
2.5197 - 0
2.77527 + 1
2.79717 - 0
2.80945 + 1
2.82589 - 0
3.002 + 1
3.0287 - 0
3.09912 + 1
3.17159 + 2
3.17816 - 1
3.19622 + 2
3.26414 + 3
3.27176 - 2
3.31021 + 3
3.32376 + 4
3.37305 - 3
3.39518 - 2
3.39782 - 1
3.4234 - 0
3.4909 + 1
3.53095 + 2
3.58472 - 1
3.6199 - 0
3.62875 + 1
3.66297 + 2
3.67563 + 3
3.79098 - 2
3.79116 + 3
3.79456 + 4
3.81591 + 5
3.82433 - 4
3.83075 + 5
3.8394 - 4
3.84266 - 3
3.87255 + 4
3.88679 + 5
3.91677 - 4
3.94663 - 3
3.96117 - 2
4.00513 - 1
4.02902 + 2
4.03327 - 1
4.09462 - 0
4.14761 + 1
4.24133 + 2
4.2669 + 3
4.29511 - 2
4.34478 - 1
4.37523 - 0
4.38058 + 1
4.40918 - 0
4.47109 + 1
4.48971 + 2
4.51612 - 1
4.51781 - 0
4.54718 + 1
4.56899 - 0
4.61872 + 1
4.62345 + 2
4.65758 + 3
4.67151 - 2
4.67398 + 3
4.70548 + 4
4.71193 + 5
4.74025 - 4
4.78631 + 5
4.8012 - 4
4.81839 - 3
4.86442 - 2
4.86574 - 1
4.89777 - 0
4.91203 + 1
4.92408 + 2
4.94032 + 3
4.9751 - 2
4.99402 + 3
5.03125 + 4
5.03516 - 3
5.06428 + 4
5.10771 + 5
5.12599 - 4
5.17084 - 3
5.20124 + 4
5.31398 - 3
5.32615 + 4
5.33775 - 3
5.35433 - 2
5.44009 - 1
5.5344 - 0
5.66148 + 1
5.71431 - 0
5.74594 + 1
5.81184 - 0
5.81777 + 1
5.83546 + 2
5.89998 + 3
